Document date,Expenses Supplier,Reference,Description,Tax Inclusive Amount,Column1,Bank Code,Account Code,Payment date,,,,,,
2/14/2011,XY Solutions,S77782,Opening Balance,"5,100.00",A,B1,BS-500,03-02-2011,,,,,,
03-01-2011,IS Communications,Invoice EXP22,Internet Service Provider,179,A,B1,IS-380,3/31/2011,,,,,,
03-02-2011,Newscorp,381119,Subscriptions,478,A,B1,IS-375,04-01-2011,,,,,,
03-05-2011,EAG Brokers,Debit Order,Insurance,340,A,B1,IS-340,03-05-2011,,,,,,
3/15/2011,Capital Bank,Bank Statement,Service Fees,50,A,B1,IS-315,3/15/2011,,,,,,
3/15/2011,Capital Bank,Bank Statement,Service Fees,35,A,B2,IS-315,3/15/2011,,,,,,
3/15/2011,IAS Accountants,Invoice,Bookkeeping,"1,000.00",A,B1,IS-305,04-02-2011,,,,,,
3/15/2011,Interflora,Cash,Flowers,90,A,PC,IS-345,3/15/2011,,,,,,
3/18/2011,QQ International,TR6998,Parking,200,A,B1,IS-390,3/18/2011,,,,,,
3/20/2011,Example (Pty) Ltd,Transfer,Inter Account Transfer,"-15,000.00",E,B2,BS-399,3/20/2011,,,,,,
3/20/2011,Example (Pty) Ltd,Transfer,Inter Account Transfer,"15,000.00",E,B1,BS-399,3/20/2011,,,Filter the pivot table data with the slicer so that the supplier totals for only expenses that have been allocated to account IS-375 or account IS-390 are displayed in the pivot table.,,,"Goal is to extract a unique list of values from the Sales Rep Column, without using an Excel Array Formula."
3/26/2011,Example (Pty) Ltd,Payroll,Salaries,"13,000.00",E,B2,IS-365,3/26/2011,,,,,,
3/26/2011,HP Finance,Debit Order,Capital repayment,220,E,B1,BS-700,3/26/2011,,,,,,2/14/2011
3/26/2011,HP Finance,Debit Order,Interest paid,100,E,B1,IS-500,3/26/2011,,,Row Labels,Count of Expenses Supplier,,
3/26/2011,PR Properties,Debit Order,Rent,"6,400.00",A,B1,IS-350,3/26/2011,,,IS-375,1,,
3/31/2011,Example (Pty) Ltd,Bank Statement,Petty Cash Reimbursement,100,E,B1,BS-399,3/31/2011,,,IS-390,2,,
3/31/2011,Example (Pty) Ltd,Bank Statement,Petty Cash Reimbursement,-100,E,PC,BS-399,3/31/2011,,,Grand Total,3,,
04-01-2011,IS Communications,Invoice EXP23,Internet Service Provider,179,A,B1,IS-380,05-01-2011,,,,,,
04-05-2011,EAG Brokers,Debit Order,Insurance,340,A,B1,IS-340,04-05-2011,,,,,,
04-12-2011,Interflora,Cash,Flowers,87,A,PC,IS-345,04-12-2011,,,,,,
4/15/2011,Capital Bank,Bank Statement,Service Fees,80,A,B1,IS-315,4/15/2011,,,,,,
4/15/2011,Capital Bank,Bank Statement,Service Fees,35,A,B2,IS-315,4/15/2011,,,,,,
4/15/2011,IAS Accountants,Invoice,Bookkeeping,"1,000.00",A,B1,IS-305,05-03-2011,,,,,,
4/20/2011,Example (Pty) Ltd,Transfer,Inter Account Transfer,"-20,000.00",E,B2,BS-399,4/20/2011,,,,,,
4/20/2011,Example (Pty) Ltd,Transfer,Inter Account Transfer,"20,000.00",E,B1,BS-399,4/20/2011,,,,,,
4/25/2011,Inland Revenue,Return,Sales Tax,"1,300.00",E,B1,BS-600,4/25/2011,,,,,,
4/26/2011,Example (Pty) Ltd,Payroll,Salaries,"20,000.00",E,B2,IS-365,4/26/2011,,,,,,
4/26/2011,Furniture City,Invoice,Furniture,"3,000.00",A,B1,BS-100,5/26/2011,,,,,,
4/26/2011,HP Finance,Debit Order,Capital repayment,220,E,B1,BS-700,4/26/2011,,,,,,
4/26/2011,HP Finance,Debit Order,Interest paid,100,E,B1,IS-500,4/26/2011,,,,,,
4/26/2011,PR Properties,Debit Order,Rent,"6,400.00",A,B1,IS-350,4/26/2011,,,,,,
4/29/2011,GF Supplies,IN1179,Consumables,41,A,PC,IS-325,5/29/2011,,,,,,
4/30/2011,Example (Pty) Ltd,Bank Statement,Petty Cash Reimbursement,100,E,B1,BS-399,4/30/2011,,,,,,
4/30/2011,Example (Pty) Ltd,Bank Statement,Petty Cash Reimbursement,-100,E,PC,BS-399,4/30/2011,,,,,,
05-01-2011,IS Communications,Invoice EXP24,Internet Service Provider,179,A,B1,IS-380,5/31/2011,,,,,,
05-01-2011,Training Inc,Invoice,Course,220,A,B1,IS-385,5/31/2011,,,,,,
05-05-2011,EAG Brokers,Debit Order,Insurance,340,A,B1,IS-340,05-05-2011,,,,,,
05-07-2011,City Lodge,S50037,Accommodation,563,A,B1,IS-390,05-07-2011,,,,,,
05-07-2011,Waltons,Invoice,Stationery,982,A,B1,IS-370,06-06-2011,,,,,,
5/15/2011,Capital Bank,Bank Statement,Service Fees,80,A,B1,IS-315,5/15/2011,,,,,,
5/15/2011,Capital Bank,Bank Statement,Service Fees,35,A,B2,IS-315,5/15/2011,,,,,,
5/15/2011,IAS Accountants,Invoice,Bookkeeping,"1,000.00",A,B1,IS-305,06-02-2011,,,,,,
5/20/2011,Example (Pty) Ltd,Transfer,Inter Account Transfer,"-20,000.00",E,B2,BS-399,5/20/2011,,,,,,
5/20/2011,Example (Pty) Ltd,Transfer,Inter Account Transfer,"20,000.00",E,B1,BS-399,5/20/2011,,,,,,
5/26/2011,Example (Pty) Ltd,Payroll,Salaries,"20,000.00",E,B2,IS-365,5/26/2011,,,,,,
5/26/2011,HP Finance,Debit Order,Capital repayment,220,E,B1,BS-700,5/26/2011,,,,,,
